Data,Dia da semana,Mes,Ano,Feriado,Cargo,Regime de trabalho,Salario Base,Salario Bruto,Valor_HE_por_hora,Hora_inicio,Hora_fim,qtd_HE,HE_retorno,Tipo_HE
2013-05-08,Quarta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-09,Quinta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-10,Sexta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-11,Sábado,Maio,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-12,Domingo,Maio,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-13,Segunda-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-14,Terça-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-15,Quarta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-16,Quinta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-17,Sexta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-18,Sábado,Maio,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-19,Domingo,Maio,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-20,Segunda-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-21,Terça-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-22,Quarta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-23,Quinta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-24,Sexta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-25,Sábado,Maio,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-26,Domingo,Maio,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-27,Segunda-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-28,Terça-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-05-29,Quarta-feira,Maio,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
