Data;Nome do Feriado;Feriado;Cargo;Regime de trabalho;Salario Base;Salario Bruto;ValorHE/Hora
05/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
06/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
07/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
08/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
09/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
10/08/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
11/08/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
12/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
13/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
14/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
15/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
16/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
17/08/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
18/08/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
19/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
20/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
21/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
22/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
23/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
24/08/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
25/08/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
26/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
27/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
28/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
29/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
30/08/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
31/08/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
01/09/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
02/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
03/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
04/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
05/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
06/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
07/09/2013;Independência do Brasil;Sim;Eletricista;Folga;1475,85;1918,61;9,59
08/09/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
09/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
10/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
11/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
12/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
13/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
14/09/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
15/09/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
16/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
17/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
18/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
19/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
20/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
21/09/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
22/09/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
23/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
24/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
25/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
26/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
27/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
28/09/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
29/09/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
30/09/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
01/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
02/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
03/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
04/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
05/10/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
06/10/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
07/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
08/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
09/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
10/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
11/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
12/10/2013;Nossa Sr.a Aparecida - Padroeira do Brasil;Sim;Eletricista;Folga;1475,85;1918,61;9,59
13/10/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
14/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
15/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
16/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
17/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
18/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
19/10/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
20/10/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
21/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
22/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
23/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
24/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
25/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
26/10/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
27/10/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
28/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
29/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
30/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
31/10/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
01/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
02/11/2013;Finados;Sim;Eletricista;Folga;1576,94;2050,02;10,25
03/11/2013;-;Nao;Eletricista;Folga;1576,94;2050,02;10,25
04/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
05/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
06/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
07/11/2013;-;Nao;Eletricista;Trabalho;1576,94;2050,02;10,25
